comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha
Extraordinaria buenos ejemplos clínicos,BUENO,10.0,10.0,hematología,8.5,08/Oct/2019
La mestra es buena conoce bien los temas y prepara sus clases a diferencia de otros Puede dejar que sus gustos personales opaquen un poco su retroalimentación pero ayuda y sí aprendes  Es estricta con las entregas y actividades pero creo que lo normal que deberían pedir todos los maestros,BUENO,8.0,4.0,Diseño,8.0,13/Nov/2017
El mejor maestro que he tenido en mi vida La mejor maestra su esposa Nadie como él para explicar y enseñar sin límite su experticie Clases de mucho crecimiento e inolvidables Un gran ejemplo como docente y sin duda el mejor perito en psicología,BUENO,10.0,6.0,CONFLICTOLOGIA Y TECNICAS DE COMUNICACION,10.0,05/Mar/2020
Excelente maestro y es de los pocos que realmente se interesan por que el estudiante aprenda y tenga la necesidad de seguir aprendiendoinvestigando y cuestionando Y es el que tiene mas poblacion de estudiantes en sus diplomados y clases,BUENO,10.0,10.0,diplomado,10.0,28/Feb/2013
Muy buenos sus cursos con mucha experiencia,BUENO,10.0,10.0,tecnicas de interrogatorio,10.0,09/Oct/2011
extraordinarioadmirable ejemplo a imitarmemoria fotograficaobjetivo practico inovador en su areapor lo mismo acarrea envidias porque no pueden superarlo,BUENO,10.0,10.0,diplomados,10.0,23/Mar/2011
Quien dice que es un charlatán seguramente es por envidia que de la cara y se lo diga de frente lo conozco como maestro tiene toda la experiencia y sí acarrea muchas envidias como las de esa calumniosa la invito a que compruebe lo que diceademás es un hombre de familia ejemplary me consta,BUENO,10.0,8.0,Psicologia jurídica,10.0,12/Mar/2011
Experiencia apertura y facilitadorexcelente combinacion,BUENO,10.0,10.0,Psicologia Juridica y Tecnicas de Interrogatorio,10.0,16/Ago/2010
Nadie como el Maestro tiene mucha experiencia y es el unico preparado de la Uni en estos temas tiene muchos titulos que nos ayuda lo que sabe con ejemplos practicos de su practica y conocimientos se los recomiendo ex alumno de psicologia,BUENO,10.0,6.0,Diplomado pisologiaa juridica y tecnicas de interrogato,10.0,26/Jun/2010
Tiene mucha experiencia y sabe como mantener la atención con anecdotas,BUENO,10.0,8.0,Psicología jurídica y Técnicas de Interrogatorio,9.5,31/May/2010
teresita no te acabes yo se que sigues virgen,BUENO,8.0,10.0,gestion empresarial,10.0,15/Dic/2011
"me caía bien pero nunca iba a clases siempre tenía cosas más importantes que hacer
y no no aprendí nada con ella 
como quiera es muy buena persona pero no tan buena maestra",REGULAR,4.0,10.0,introducción a la administración,9.0,22/Oct/2008
la clase más fácil de mi vida lástima que no aprendí nada,MALO,2.0,10.0,Contabilidad general,10.0,27/Sep/2008
Un desastre,MALO,2.0,8.0,Hidrogeología,2.0,20/Ago/2010
Es muy humanista,BUENO,10.0,10.0,Hidrogeologia,10.0,24/Jul/2010
"Soy uno de sus muchos INUTILES
es a toda madre
no hay mejor maestro para biologia 
te resume muy bien la clase no sean mal pensados
es pookisima madre
se le extraña",BUENO,10.0,8.0,QUIMICA Y BIOLOGIA,10.0,22/Mar/2009
"es kon made solo ke tiene
un gran defecto
ser tigre jajaja",BUENO,10.0,10.0,biologia,10.0,04/Ago/2008
"es kon made solo ke tiene
un gran defecto
ser tigre jajaja",BUENO,10.0,10.0,biologia,10.0,04/Ago/2008
"supeeee uno de los mejores de la prepa 2
jajajajaja
no manchees el lic hacia la clase super trankila agusto y la disfrutabaas
generacion 20032005",BUENO,10.0,10.0,biologia,9.0,25/Jul/2008
Es super buena onda sabe muchas cosas y siempre busca tu brneficio personal bien accesiblae excelente persona y como profesor ni se diga Lo recomiendo de manera bastante bien ell siempre tendra una sonrisa parati claro que stu pongas de tu parte,BUENO,10.0,8.0,Quimica y biologia,9.0,25/Jul/2008
"es un profe super alivianado bien chevere 

y cae kon ganas asi ke animales ponganse a estudiar",BUENO,10.0,2.0,quimika y biologia,10.0,25/Jul/2008
"wuaw 

es un prof a todo dR 
nos apoya mucho 
en eltiene mi respeto y mi amistad 
prof en vdd espero segir en kontacto kmo usted kmo sta ahorita sabiendo k yo sali hace 2 años en vdd sus klases eran divertidas y edukativas sin kaer en lo komun 

gracias por el tiempo k me dio klases d k 1 añoo y d k biiologiaa",BUENO,10.0,10.0,bioologiia,8.5,25/Jul/2008
Sin duda un visionario y disruptor no solo en radiología la cual inspira a seguir sino en educación médica en general Gracias,BUENO,10.0,10.0,Radiología,9.0,26/Nov/2018
Excelent Persona Dr y Profesor,BUENO,10.0,10.0,Radiología,9.5,04/Dic/2017
Es una gran doctora con mucha preparación en clase te das cuenta que ama la materia y quiere que puedas aprender todo lo necesario no solo para pasar sino también para que en un futuro puedas dedicarte a eso Te brinda apoyo en lo que sea que necesites Es la mejor,BUENO,10.0,10.0,FCQ/Cosmetología,9.5,30/Ago/2021
No te da tantos consejos antes de la lamina pero te da buena retroalimentación,REGULAR,6.0,6.0,Taller de Composición,8.0,01/Dic/2014
Es estricto a la hora de calificar tus láminas pero eso hace que le eches ganas y hagas mejor las cosas para sacarte un buena calificación,BUENO,10.0,4.0,Expresión Gráfica con Instrumentos,10.0,16/Nov/2014
no me gusto la quimica por este maestro,MALO,3.0,2.0,Quimica,3.0,21/Mar/2011
con este profe ame quimica haha y le entendi muy bien y azzi,BUENO,10.0,10.0,quimica,10.0,07/Jul/2009
Ninguno,MALO,2.0,2.0,Química,5.0,10/Sep/2008
"super buen profe otro como el no me voy a topar en toda mi viida desgraciadamenteUn poco serio en clase y muy estricto pero0 por fuera pfff lo mejor excelente persona tambien jaja me acuerdo de las charlas awww uno de los mejores de la 2 y le qedan 7 años eh chicass se lo qe les digo jajajja esta bien lindo xD qimica siiempreee jajaja
saludo0s el mejor y mi favoriito
saludoss",BUENO,10.0,10.0,qimica,10.0,30/Jul/2008
"jaja ncheeee werkiillaa la de arriibaa sisii
amaabaa suss charlass aunkee un pkO mentiiroosiillo el tipO peroo wenoo
qmOqiieraaa jajaa


biies",BUENO,10.0,10.0,(L)quiimiiiqaaa,10.0,30/Jul/2008
"super buen profe otro como el no me voy a topar en toda mi viida desgraciadamenteUn poco serio en clase y muy estricto pero0 por fuera pfff lo mejor excelente persona tambien jaja me acuerdo de las charlas awww uno de los mejores de la 2 y le qedan 7 años eh chicass se lo qe les digo jajajja esta bien lindo xD qimica siiempreee jajaja
saludo0s el mejor y mi favoriito
saludoss",BUENO,10.0,10.0,qimica,10.0,30/Jul/2008
"haha si ess mui buennnn maestrooo
explika mui bienn sisii 
suu klace es exelenthe mm buenO aunqe ami iaa no m daa xkee iaa sali de laa prepaa 
peroo sii exelenthee maestroooo D
vdd fairyy hahaaahha jajjja D



biiesss",BUENO,10.0,10.0,quimiqaaaaa,10.0,30/Jul/2008
sus dichosos examenes quincenales son una burla casi casi es un examen al azar de nada sirve estudiar orque quien sabe de donde saque la informacion,MALO,3.0,2.0,naturaleza de la arquitectura,2.0,23/Nov/2012
"Sinceramente es un profesor que no conoce la palabra método camino ya que no sabe cómo dar una verdadera clase esto lo digo porque la verdad no tiene una idea clara de cómo transmitir nuevos conocimientos a los estudiantes por lo tanto esto no lo hace ni siquiera un profesor regular sino que con todo respetolo hace un profesor ineficiente
Definición de Profesor Wikipedia Es quien se dedica profesionalmente a la enseñanza
Mi pregunta es existen profesores que no te enseñan nada",MALO,3.0,2.0,Naturaleza de la Arquietctura,5.0,18/Oct/2012
Es muy apasionado por la historia de la arquitectura probablemente desconozca como transmitirlo a los alumnos fui su alumno y me fue bastante bien,BUENO,10.0,10.0,Evaluación de la Arquitectura,10.0,11/Nov/2010
Buen Dia soy Arquitecto Egresado de esta Casa de Estudios Buen maestro solo a los que no les gusta tanto la arquitectura no pueden pasar con buenas calificaciones con este profesor asi que estudien las historia y les sara mas facil ser arquitectos,BUENO,8.0,6.0,Historia de la Arquitectura y Construccion,8.5,16/Ago/2010
"Reprueva mas de la mitad del salon 
Estudiando pasas pero es muy dificil sacar alta calificacion",REGULAR,4.0,2.0,Arquitectura e identidad,1.5,03/Ago/2010
ES UN CABRON LE MOLESTA TODO AL WEY SI DEJAS UNA MANCHITA DE CORRECTOR EN EL EXAMEN TE KITA 10 PUNTOS Y HACE KE HAGAS APUNTES EN UN SKETCHBOOK OSEA EL SKETCHBOOK ES PARA HACER BOCETOS NO APUNTES KE SANGRON ENCERIO,MALO,2.0,2.0,ARQUITECTURA Y CULTURA,6.0,08/Jun/2010
noo metas ningunaa materiaa de preferenciaa al no ser de que te toque con galan o frutos,MALO,3.0,4.0,diseño,7.5,09/Mar/2010
La participación importa mucho debes tener algo del tema antes de su clase siempre pregunta,REGULAR,6.0,2.0,Quimica organica,6.0,08/Sep/2021
Debes poner mucha atención  y estudiar En su clase importa mucho la participación eso te ayuda a pasar,REGULAR,6.0,2.0,FCQ/Orgánica,7.5,30/Ago/2021
Explica bien y sabe del tema pero su forma de evaluar es muy meticulosa hasta difícil Al momento de dar revisión parece que se pone a la defensiva,BUENO,7.0,2.0,Derecho Internacional Comercial,5.0,27/May/2022
Idependientemente de su calidad como profesora su calidad moral deja mucho que desear,MALO,2.0,2.0,Microbiología,9.0,05/Nov/2010
Usualmente se revuelve al resolver tus dudas,BUENO,7.0,6.0,Cosmetología/ Q. alimentos,7.5,08/Sep/2021
Confunde un poco al momento de aclarar dudad En clase a veces utiliza el tiempo para acomodar sus calendarios y no cuadra muy bien el tiempo Explica bien pero a veces revuelve y en exámenes debes ser muuy claro al momento de explicar una respuesta,REGULAR,5.0,6.0,FCQ/Orgánica,8.0,30/Ago/2021
Me parecio una clase muy dinamica amena y bastante ilustrativa felicitaciones al Dr Bernardo por su metodologia de enseñanza,BUENO,10.0,8.0,Imagenologia,10.0,08/Dic/2009
"Pues me agrada mucho la forma de dar clase sobre todo por que nos da informacion necesaria y casos clinicos de como aplicar lo aprendido
Me hubiera gustado que hubiese podido ir a todas las clases",BUENO,10.0,8.0,imagenologia,10.0,21/Jun/2009
excelente profesor muy paciente para explicar nos incita a razonar,BUENO,10.0,10.0,lab rayos,10.0,19/Jun/2009
Excelente maestro siempre da muy buenas explicaciones y da todo a entender y tiene mucha paciencia y excelente sentido del humor,BUENO,10.0,10.0,Lab. de Radiologia,10.0,03/Jun/2009
me gusta mucho su clase pero solo no falte tanto,BUENO,10.0,10.0,laboratorio de rayos,10.0,01/Jun/2009
Nada más ya no falte tanto a las clases de laboratoriopor favor ,BUENO,10.0,10.0,Lab rayos,10.0,01/Jun/2009
Es muy buena profesoray como todos es muy estricta pero esa rectitud ayuda mucho en los examenes Es muy regañona a veces grocerilla pero sin duda alguna te vas a acordar de ella cad vez que presentes algo nde su materaSin duda es muy buena maestra,BUENO,8.0,10.0,Artes y humanidades y ciencias sociales,9.0,25/Jul/2008
Más objetiva a la hora de calificar,REGULAR,4.0,4.0,Biología Molecular,7.0,04/Dic/2012
Hace su clase muy entendible y usa ejemplos que hace la clase muy divertida sin salirse del tema te invita a indagar más sobre los temas que enseña en clase te inspira para escribir tus propios textos y te apoya en lo que necesites muy buen maestro,BUENO,10.0,10.0,Expresión Oral y Escrita,9.5,30/May/2023
Es un buen profesor de instalaciones el cual no valore cuando tuve clases con el y ahora hasta sus apuntes busco,BUENO,10.0,10.0,Instalaciones,8.0,25/Ago/2016
Es un buen profesor aunque es necesario agarrarle la manera de trabajar y tener un buen equipo de trabajo yo he estado con el en las tres instalaciones y me ha ido bien y ahorita me parece mas fácil su materia,BUENO,8.0,4.0,Instlaciones,8.0,16/Mar/2015
"Dependiendo de la materia te explicará o no a mi experiencia he aprendido con él pero me cuentan que en otras materias no explica espera que tú entiendas todo a partir de sus copias
Necesita actualizar un poco su método de trabajo y hacerse de otros exámenes que siempre usa los mismos",REGULAR,4.0,4.0,Instalaciones hidrosanitarias,6.5,25/Mar/2014
Creo que muchas generacines hemos pasado por esos tediosos libretos de mas de 500 hojas que encarga no se ahora si ya cambio su metodo pero fue mi calvario esa materia aunque gracias a eso aprendi lo que ahora se osea nada pd es broma Gracias arq Jinez,REGULAR,6.0,2.0,INSTALACIONES,7.0,22/Dic/2010
Si enseña bien nada mas que es algo complicado el señor muy metodico,REGULAR,6.0,4.0,instalaciones,7.0,02/Mar/2009
ai nooo la muerte con ese hombre ademas siempre andaba crudo y alucinaba bien cañon,REGULAR,5.0,2.0,instalaciones,7.0,03/Nov/2008
muy impredescible,BUENO,9.0,2.0,instalaciones,8.0,01/Nov/2008
algo meticuloso pero si aprende uno  solo que se actualize por q derrepnete enseñaba cosas muy obsoletas y que ya tenian rato de haber salido del mercado saludos,BUENO,8.0,8.0,Instalaciones,9.0,30/Oct/2008
me hizo la carrera imposible,MALO,2.0,2.0,instalaciones,0.5,30/Oct/2008
empinado el vato,MALO,2.0,2.0,instalaciones,0.5,19/Ago/2008
KE FLOJERA ME DA,MALO,2.0,10.0,INSTALACIONES,7.0,11/Jul/2008
buuuuuuuuuuuuuuuu,MALO,2.0,2.0,instsalaciones,7.0,11/Jul/2008
Es obsoletisimo,MALO,2.0,2.0,Instalaciones,7.0,19/Jun/2008
Estricto,REGULAR,4.0,2.0,Instalaciones,7.5,19/Jun/2008
Excelente maestro,BUENO,10.0,6.0,Español III,9.5,10/Jun/2014
Es el mejor profe de comunicacion que me ha dado,BUENO,10.0,10.0,Comunicacion,9.5,07/Mar/2009
LO OODIOOOOO,MALO,2.0,2.0,Comunicacion y lenguaje,5.5,24/Jun/2008
Es un profesor muy bueno Escribe muchos libros pero también sabe transmitir lo que sabe en la clase Ojala vuelva a tomar clases con el,BUENO,10.0,10.0,Derecho Administrativo,8.5,18/Jun/2020
"Excelente docente y excelente persona
Espero volver a tomar clases con él 100",BUENO,10.0,10.0,Derecho Constitucional,24.0,01/Nov/2019
Es un excelente profesor y abogado de nuestro país La verdad que es un gusto y un honor tenerlo como docente en la FCPyRI,BUENO,10.0,10.0,Derecho Administrativo!,10.0,29/Oct/2019
Muy bueno,BUENO,10.0,10.0,DErecho Internacional,7.0,04/Mar/2019
A pesar de que es abogado es uno de los mejores maestros en la Facultad de Ciencias Políticas tomando en cuenta la cantidad de maestros mediocres que hay en la UANL,BUENO,10.0,10.0,Relaciones Internacionales,8.5,22/Nov/2016
El mas sexy de la UANL,BUENO,9.0,8.0,argumentacion y discurso juridico,10.0,31/Jul/2016
Muy buen profesor,BUENO,9.0,8.0,Derechos Fundamentales,9.5,20/Jul/2016
Al principio piensas que es alguien serio y con carácter fuerte sin embargo explica muy bien y siempre explica el porque de las cosas En verdad ha hecho que me interese más por la Nefrología,BUENO,10.0,10.0,Discusión/Nefrología,23.0,08/Mar/2016
de los verdderos maestro que ha tenido la fac de arquitectura de la uanlvolveria a inscribirme con elsoy exalumno de 1974,BUENO,10.0,10.0,urbanismo,9.5,23/Sep/2019
Es muy ameno es un profesos que se nota que tiene un conocimiento impresionante puede que repruebe al 70 de su clase pero los que si pasaron les doy por seguro que si aprendieron,BUENO,10.0,2.0,Arquitectura y cultura,8.0,22/Jul/2018
fue mi maestro de maestros en 1770,BUENO,10.0,10.0,URBANISMO,10.0,05/Sep/2015
Es un maestro con el que pasa el que quiere realmente no es tan dificil si te organizas bien y me parece que da su clase de forma entretenida,BUENO,8.0,8.0,Arquitectura y Cultura,8.5,01/Dic/2014
"De los maestros con los que más he aprendido te puedes llevar excelente con él pero no por eso pasarás debes aplicarte así aprenderás y pasarás
Su metodología de enseñanza es buena y te ayuda a entender mejor los temas",REGULAR,6.0,4.0,"Historia de la Arquitectura, Urbanismo",9.5,25/Mar/2014
Excelente maestro excelente clase siempre amena y llena de conocimiento y experiencias que comparte el Arqui Explica algunos temas de forma muy subjetiva a veces pero siempre lo refuta con conocimientos objetivos En su clase tu te ganas tu calificación,BUENO,10.0,4.0,"Historia de la Arq., Estética, Urbanismo",9.0,16/Abr/2013
Es muy buen maestro aunque en sus clases debes aplicarte si pasas con el es que aprendiste,BUENO,9.0,4.0,Arq y Cul,2.0,30/Ago/2012
Sintetiza mucho y enfatiza mucho su propio criterio y coarta el analisis de los alumnos aunque facilita mucho su cronología Y me debe algunos libros que preste,REGULAR,6.0,8.0,Diseño urbano,8.0,11/Nov/2010
Su clase es divertida y aprendes mucho,REGULAR,6.0,4.0,Estetica de la Arquitectura,7.5,24/Jun/2010
"hah el proofe tomass hahaha
nchee rebaa kn ell tdooo un añoo sisiii
kaiiaa bn el tipo siis P",BUENO,10.0,10.0,matematicass,10.0,30/Jul/2008
Es buen profesor y muy didáctico,BUENO,10.0,2.0,Residencia rayos X,8.5,12/May/2011
Maestro muy accesible y te puede explicar hasta 100 veces las cosas,BUENO,9.0,10.0,Calculo Diferencial e Integral,9.5,17/Ago/2017
"no hay un mejor maestro de matematicas
me siento muy orgulloso de haber sido su alumno
RAP",BUENO,10.0,10.0,Calculo diferencial,10.0,22/Mar/2009
Uno de los mejores maestros de la prepa y de toda la familia universitaria super recomendable seria un honor pra cualquiera,BUENO,10.0,10.0,Matematicas,10.0,25/Jul/2008
Muy buen maestro  ya que  cubre todos los temas a explicar y sus examenes tratan de lo k se ve en clase   aunque eso no deja k varios repureben la materia ,BUENO,10.0,10.0,Calculo,10.0,26/Sep/2010
excelennte docente y persona,BUENO,10.0,10.0,redaccion,10.0,06/Abr/2011
Es muy pesada si la pasé pero fue llevándole todas las laminas y aun así califica duro como para batallar para pasar,REGULAR,5.0,2.0,Bocetos,7.0,01/Jul/2019
Falta mucho y siempre quiere acabar antes que los demás profesores nada recomendable,REGULAR,4.0,4.0,Taller,8.0,25/Jun/2019
La materia es de posgrado previa a la redacción de la tesina La clase fue muy práctica con muy buena retroalimentación por parte del profesor Lo recomiendo ampliamente,BUENO,9.0,8.0,Proyecto Estratégico de Sistemas de Prevención,9.5,24/Nov/2020
si quieren ser unos psicologos mediocres no pasen por su materia,BUENO,7.0,2.0,historia,9.0,06/Nov/2009
Muy estricta muy confusa,MALO,2.0,2.0,Historia de la Psicologia,8.5,18/Jun/2008
"Maestro algo abajo del promedio uno puede notar que sabe mucho pero no es un maestro del todo bueno Yo aprendí con él lo necesario pero sé de algunos que no aprendieron nada
Estudia tus apuntes para el examen y entregas trabajos y pasarás en un par de semestres te olvidarás de él",REGULAR,4.0,6.0,Procesos de construcción,7.5,25/Mar/2014
Seguido pierde tus exámenes y no hace nada por encontrarlos o de plano se le olvida Te promete sus clásicos 15 puntos si nunca faltas para después inventarte faltas y no dártelos Sus explicaciones son confusas y nunca esta disponible para aclaraciones o revisiones,MALO,2.0,6.0,Procesos de Construccion 2,5.5,24/Jun/2010
poco profesional y no se da a dialogar para despejar dudas,MALO,2.0,2.0,acero,7.0,29/Jul/2020
si no quieres que te recuerden lo pend que estas aveces jamas la metan con el es lo peor muy pesadas sus clases pero si estas enamorado de la carrera puedes aprender mucho,REGULAR,6.0,2.0,construccion,7.0,03/Ene/2011
Buen maestro deberia dejar de limitar al arquitecto e ir más alla de un simple proceso para lograr un resultado de un problema y enseñarnos a analizar las condiciones y el metodo a resolver x problemas para pasar la materia en la carrera si vale la pena para aventar al alumno al campo falta mucho,BUENO,8.0,6.0,Estructuras,7.0,11/Nov/2010
"alguna vez imaginaste reprobar desde el incio de semstre pues no lo hagas mas eso si seras un semi dios en sistemas 

mejor conocido como chori",BUENO,7.0,2.0,sistemas estructurales,8.5,13/Ago/2009
Lo recomiendo solamente porque con el dejar la materia es demasiado complicado porque te ayuda de mil maneras a que la pases aunque no aprendiste nada en el semestre,REGULAR,6.0,8.0,Metodología de la Investigación,8.5,01/Dic/2014
"Buen maestro pero si es egocemtrico
Es facil pasar con el siempre y cuando hagas las tareas el examen no lo pone algo complicado pero regala puntos extras 
encarga lecturas depende si te gusta leer o no para meterlo con el ya que tambien sabe sobre la materia",REGULAR,4.0,8.0,Habilidades cognitivas y COE,7.5,01/Ago/2010
Es un egocéntrico que en su clase solo se idolatra mas Sus tareas son reseñas de películas e investigaciones de aspectos socioculturales,MALO,2.0,8.0,Cultura Regional,8.5,24/Jun/2010
De los mejores maestros que tuve en la  Preparatoria 2,BUENO,10.0,10.0,Física,9.0,10/Jun/2022
gracias profe,BUENO,10.0,10.0,fisica,10.0,28/Ene/2011
Excelente no hay nadie que se le compare,BUENO,10.0,10.0,Fisica,10.0,04/Jun/2009
he rocks ,BUENO,10.0,10.0,fisica,10.0,26/Jul/2008
es supeeer genercion 20032005,BUENO,10.0,10.0,fisica,10.0,25/Jul/2008
EL MEJOR DE MONTERREY,BUENO,10.0,10.0,fisica,10.0,25/Jul/2008
Bastante meeehh,MALO,2.0,10.0,Patología,9.0,10/Ago/2022
Muy buen doctor asegúrate de leer antes el capitulo de la clase ya que pregunta abiertamente y entra mucho a debate Tomaría su clase de nuevo exámenes fáciles y te deja todo super entendible,BUENO,10.0,10.0,Patología oral I,23.0,04/Nov/2021
persona que se desembuelve muy bien ante los grupos y que hace incapie en la importancia de la materia asi de como la pereza no cabe en la actitud como medico,BUENO,10.0,10.0,Imagenologia,10.0,21/Mar/2009
"Le gusta preguntar el por qué de las cosasa para que razonemos sabiendo qué estudio pedir y qué debemos buscar en base a nuestro dx presuntivo
Gracias",BUENO,10.0,10.0,Imagenologia,9.0,02/Jul/2008
Solo entrega todas las tareas que encargue y ya la hiciste Explica muy claro pero eso si puede ser algo aburrida la clase asi que concentrate lo mas posible,BUENO,10.0,6.0,estatica,9.0,13/Sep/2014
Muy buen profesor se le entiende todo,BUENO,10.0,6.0,Estatica,8.5,30/Ago/2012
Puedes saber nada y pasar pero es aleatoria depende del humor del profesor,REGULAR,6.0,6.0,Resistencia de Materiales,7.0,24/Jun/2010
Explica bienconoce lo que dice,BUENO,10.0,4.0,Biologia Molecular,9.0,10/Oct/2008
Excelente maestro,BUENO,10.0,8.0,Excelente,10.0,06/Ago/2014
"EXCELENTE MAESTRO DE LA UANL
LA FIC NECESITA GENTE COMO EL
SE PREOCUPA POR EL ALUMNO A QUE TENGA
UN MEJOR DESARROLLO COMO ESTUDIANTE Y LE INTERESA QUE EL ALUMNO SE INVOLUCRE EN LA INVESTIGACIÓN",BUENO,10.0,6.0,PRESAS,10.0,18/Nov/2014
exlente ingeniero sus clases son muy accesibles la forma de llevar el semestre me agrada lo recomiendo por que aparte de eso aprendes,BUENO,10.0,10.0,Ingenieria de Recursos hidraulicos,9.0,26/May/2014
muy buen profesor se esmera en que el alumno entienda lo que quiere dar a entender y siempre tiene una actitud muy positiva y el deseo de enseñar,BUENO,9.0,6.0,recursos hidraulicos,9.5,27/Abr/2014
Excelente profesor explica con claridad los temas vistos en clase y así como el desarrollo de lo mismo en el ámbito profesional,BUENO,9.0,8.0,Hidráulica,9.0,22/Abr/2014
Muy buen maestro muy claro y enseña lo necesario no cosas q no ocupas excelente,BUENO,9.0,6.0,Hidráulica,9.0,15/Abr/2014
Buen maestro comparte mucho su experiencia profesional,REGULAR,6.0,6.0,Ingeniería de Recursos Hidraulicos,8.5,14/Abr/2014
Un excelente maestro En mi punto de vista se preocupa mucho por el alumno,BUENO,9.0,6.0,Hidráulica,9.0,12/Abr/2014
