comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha,comentario_eng
Un profesor muy apasionado Sabe tomar en cuenta todos los comentarios para dirigir la clase hacia el contenido programado Está muy dispuesto a brindar ayuda extra y es amable en sus críticas para mejorarnos Los conceptos y temas abordados quedan tan claros que no se olvida,BUENO,10.0,10.0,Instrumentos literarios,10.0,15/Sep/2021,A very passionate teacher He knows how to take into account all comments to direct the class towards the programmed content He is very willing to provide extra help and is kind in his criticisms to improve us The concepts and topics addressed are so clear that they are not forgotten
Bobadilla es uno de los mejores profesores que me han tocado el la carrera lo admiro mucho y aspiro a ser un profesora como él,BUENO,10.0,10.0,Introducción al análisis literario,10.0,15/Sep/2021,"Bobadilla is one of the best teachers I have ever had in my career, I admire him a lot and I aspire to be a teacher like him."
Aunque el profesor está apasionado por el tema que enseña nada de lo que dices le gusta Solo lo que él cree es lo correcto y minimiza mucho a los estudiantes diciéndoles que deben rascar más al texto Luego que avanzas en los semestres te das cuenta que sus ideas son muy cerradas,REGULAR,5.0,6.0,Mexicana,9.0,26/Sep/2018,Although the professor is passionate about the subject he teaches nothing you say he likes Only what he believes is the right thing to do and he minimizes the students a lot by telling them that they should scratch the text more Then as you advance through the semesters you realize that his ideas are very closed minded
Cuando la maestra llega al salón y pone sus gráficas en el proyector ya es la hora de irse a dormir con su colchón spring air También nunca dio la clase siempre pasaban compañeros a explicarlas y en todo el semestre puso un único examen que todos reprobaron además es chaira por que apoya AMLO,MALO,3.0,4.0,Microeconomía,8.5,06/Mar/2020,When the teacher arrives at the classroom and puts her graphs on the projector it is time to go to sleep with her spring air mattress. She also never taught the class and always had classmates to explain them.
La maestra me cayo súper bien es muy linda y se ve que sabe mucho de lo que enseña,BUENO,9.0,8.0,Microeconomía 2,8.0,18/Dic/2019,"I liked the teacher very much, she is very nice and you can tell she knows a lot about what she teaches."
En general estuvieron bien las clases de la profesora Burrola,BUENO,9.0,8.0,En todas las que daba.,9.5,25/Mar/2021,"In general, Professor Burrola's classes were good."
Las clases son algo aburridas porque dice lo que ya todos sabemos de la lectura de las obras Hace exámenes en los que pregunta cosas irrelevantes de las obras y luego en clase no explica por qué hizo esas preguntas Se ve que ayuda a sus alumnos favoritos y a los demás no los pela,REGULAR,6.0,6.0,Hispanoamericana,10.0,26/Sep/2018,The classes are somewhat boring because he says what we all already know from reading the works He gives exams in which he asks irrelevant questions about the works and then in class he does not explain why he asked those questions It is seen that he helps his favorite students and does not get to know the others
Es un profesor que disfruta su trabajo y se esfuerza por mantener el interés de los estudiantes,BUENO,10.0,10.0,Literatura extranjera,10.0,15/Sep/2021,Is a teacher who enjoys his job and strives to keep students interested
Su estrategia de evaluación son puros kahoot Está bien utilizar las nuevas tecnologías pero es la ÚNICA estrategia que parece conocer,REGULAR,6.0,4.0,LITERATURA HISPANOAMERICANA,9.5,25/Mar/2021,Your evaluation strategy is pure kahoot It's fine to use new technologies but it's the ONLY strategy you seem to know.
Tomé varias clases de literatura con el maestro Campa pero las que más me gustaron fueron las de redacción o escritura creativa Se ve que le gusta mucho esa faceta de la enseñanza ponía ejercicios muy dinámicos y útiles,BUENO,10.0,10.0,Redacción,10.0,26/Sep/2018,"I took several literature classes with the teacher Campa, but the ones I liked the most were the ones on writing or creative writing I could tell he really liked that aspect of teaching he gave very dynamic and useful exercises"
Muy enojona y no sabe de lo que habla muchas veces y exigente,MALO,3.0,4.0,"Radio, práctica",7.5,25/May/2020,Very angry and does not know what she is talking about many times and demanding.
lo unico malo es que no da en niveles muy altos pero es con quien mas he aprendido en el nivel 4,BUENO,10.0,8.0,Ingles,9.5,24/Oct/2019,the only bad thing is that he doesn't give at very high levels but he is the one with whom I have learned the most at level 4.
excelente doctor y maestro nos enseñó lo básico que un medico general debe saber de cardio la parte practica y los sabados nos invitaba a ver pacientes en el hospitalasi q no hagan caso a los comentarios el problema es que algunos no iban porque no querian ni modo ellos se perdieron las práctica,BUENO,10.0,10.0,Cardiologia,10.0,11/Mar/2015,excellent doctor and teacher he taught us the basics that a general practitioner should know about cardio the practical part and on Saturdays he invited us to see patients in the hospital so do not pay attention to the comments the problem is that some did not go because they did not want to so they missed the practice.
detecten a las malas personas que critican la clase del dr Canale la clase de Cardiología practica es excelente sobre todo por que gran parte del curso es imagenologia y lectura7interpretación de ECG  por lo tanto tambien nos daba la opcion de ir a ver pacientes y presentar casos clinicos,BUENO,10.0,8.0,Cardiologia,9.5,21/Sep/2014,"detect the bad people who criticize Dr. Canale's class, the practical cardiology class is excellent, especially because a large part of the course is imaging and ECG reading and interpretation, so we also had the option of going to see patients and present clinical cases."
genial ,BUENO,10.0,10.0,Bioetica,10.0,16/May/2014,great
Excelente cardiologo Sus clases me parecieron muy buenas se nota su amplia experiencia y sobre todo su facilidad para transmitir conocimientos basicos sobre lo que es la Cardiología practica,BUENO,10.0,10.0,Cardiologia,9.5,30/Abr/2014,"Excellent cardiologist I found his classes to be very good, I could see his wide experience and above all his facility to transmit basic knowledge about what is practical cardiology."
Buena materia con el pero el problema es que no te da práctica y hay peligro de ser médico teórico,BUENO,8.0,6.0,Cardiología,7.5,07/Mar/2014,Good subject with him but the problem is that he does not give you practice and there is danger of being a theoretical doctor.
me gusto mucho la clase con el dr canale ademas de ser un gran medico tiene mucha facilidad para impartir bioetica en especial en medicina creo que me sirvio mucho para tener criterio y es una materia muy diferente a las demas materias de medicina se nota que tiene mucha experiencia ,BUENO,10.0,8.0,Bioetica,10.0,17/Feb/2014,"I really liked the class with Dr. Canale, besides being a great doctor, he has a great facility to teach bioethics, especially in medicine. I think it was very useful for me to have criteria and it is a very different subject from other medical subjects, I can tell he has a lot of experience."
unica e inigualable la dra Candia,BUENO,9.0,2.0,FARMACOLOGIA,8.0,24/Ago/2015,unique and incomparable Dr. Candia
Farma es pesada pero muy padre,BUENO,10.0,4.0,Farma,10.0,01/Ago/2014,Farma is heavy but very cool
Muchísimo que estudiar pero nos ayuda las explicaciones que da,BUENO,10.0,8.0,Farma,10.0,23/May/2014,A lot to study but we are helped by the explanations he gives.
la doctora Candia me dio clases cuando estudiaba en la unison excelente doctora sobre todo comprometida de verdad con la Medicina,BUENO,10.0,2.0,Bioquimica,8.0,16/May/2014,"Dr. Candia taught me when I was a student at the unison, an excellent doctor, above all, truly committed to medicine."
Es difícil la materia pero nos da sus materiales y nos explica muy bien,BUENO,10.0,8.0,Farmacología,10.0,17/Abr/2014,It is a difficult subject but he gives us his materials and explains them very well.
una materia muy recomendable de la maestría en salud de la Unison,BUENO,10.0,8.0,Bioquímica,10.0,03/Mar/2014,a highly recommended subject of the Master's in Health at Unison
Excelente maestra superbuena investigadora estricta hasta los huesos pero muy buena amiga e increible persona,BUENO,10.0,6.0,Bioquímica,8.0,16/Ago/2013,Excellent teacher super good researcher strict to the bone but very good friend and incredible person.
Llevé con ella análisis bioquimicos hace ya un buen rato y lo que aprendí me sirvió mucho para poner mi laboratorio bien por la maestra la quiero mucho,BUENO,10.0,8.0,análisis bioquímicos,10.0,10/Ago/2013,I have been doing biochemical analysis with her for quite some time now and what I learned was very useful for me to set up my laboratory.
Es muy buena dando las clases aunque sería mejor que las materias que imparte a los alumnos de medicina estuvieran más enfocadas en la clínica más que en aspectos útiles en otras carreras como químicobiólogo,BUENO,8.0,4.0,genética,8.0,03/Jul/2013,"She is very good at giving classes, although it would be better if the subjects she teaches to medical students were more focused on the clinic rather than on aspects useful in other careers, such as chemistry and biology."
Muy buena en su materia Sus clases son muy bonitas la teoría es muy clara y trabaja con problemas muy buenos que ayudan en el laboratorio,BUENO,10.0,6.0,Bioquímica de maestria,10.0,30/Jun/2013,Very good in her subject Her classes are very nice the theory is very clear and she works with very good problems that help in the lab.
uuuy hace muchos años me dio genéticainolvidable la maestra,BUENO,10.0,10.0,genética,10.0,23/Mar/2013,uuuy many years ago she gave me genéticainolvidable the teacher
Detecten a la mala persona que califica mal a la dra ella es excelente y su clase magnífica yo aprendí mucho bioquímica,BUENO,10.0,4.0,Bioquimica,10.0,08/Mar/2013,Detect the bad person who badmouths the Dra. She is excellent and her class is magnificent I learned a lot about biochemistry.
La Dra Candia es muy buena persona te ayuda a aprender y también a resolver tus problemas personales,BUENO,10.0,10.0,Farmacología,10.0,17/Feb/2013,Dr. Candia is a very good person who helps you to learn and also to solve personal problems.
Excelente exposición conocimiento del tema y amplia experiencia práctica en campo y laboratorio,BUENO,10.0,10.0,Producción de Semillas,8.5,18/Jul/2021,Excellent presentation knowledge of the subject and extensive practical experience in the field and in the laboratory
Su conocimiento de los temas de clase son amplios los presenta muy interesantes y amenos El tiempo de clase no parece suficiente para seguir con los temas Su apoyo en el desarrollo de las prácticas de laboratorio son invaluables pues nos da información como todo un experto,BUENO,10.0,10.0,Producción de Semillas,10.0,11/Mar/2011,His knowledge of the class topics is ample and he presents them in a very interesting and entertaining way The class time does not seem sufficient to follow the topics His support in the development of the laboratory practices is invaluable because he gives us information like an expert.
No había café tan fuerte que me quitara el sueño en su clase su voz y su ritmo no te ayudaba a ponerle atención y al final batallabas no por que estuviera difícil si no porque no ponía atención yo No estaba tan difícil la clase es buena en lab pero en clase zzz,REGULAR,5.0,6.0,analisis quimico aplicado,21.0,19/Feb/2023,There was no coffee so strong that it kept me awake at night in his class his voice and his rhythm didn't help you pay attention and in the end you struggled not because it was hard but because he wasn't paying attention I wasn't that hard the class is good in lab but in class zzz's.
Toda la hora leía la presentación que llevaba preparada al ser en línea pocas veces escuchaba cuando teníamos dudas se volvió algo pesada la materia por lo mismo,REGULAR,4.0,8.0,Análisis Químico Aplicado,9.5,18/Dic/2021,"The whole hour I read the presentation that I had prepared, since it was online, I rarely listened when we had doubts and the subject became a bit heavy for the same reason."
Es muy buen profe de foto pero es exigente calificando,BUENO,10.0,6.0,Foto,8.5,25/May/2020,He is a very good photo teacher but he is a demanding grader.
Sus clases son sencillas si se hacen los ejercicios y se estudian las presentaciones aseguras buena nota porque en los exámenes puedes encontrar todo de ahí,BUENO,10.0,10.0,Química Orgánica,10.0,18/Dic/2021,His classes are simple if you do the exercises and study the presentations you will get a good grade because in the exams you can find everything from there.
La clase sería muy fácil tan solo si se diera a entender La clase es tediosa y aburrida No te dan ganas de poner atención,MALO,3.0,4.0,Análisis Químico Aplicado,21.0,20/Ago/2020,The class would be very easy if only it was made clear The class is tedious and boring You don't feel like paying attention
Confunde mucho no es clara con algunos temas,REGULAR,5.0,10.0,Análisis Químico Aplicado,9.0,13/Ago/2020,Confuses a lot and is not clear on some issues.
el doctor celis me impartió la materia de propedeutica hace algun tiempo definitivamente me sirvio mucho en el hospital del issste hermosillo nos permitio hacer practicas y aprender va a su ritmo a veces no tiene un orden claro pero es muy recomendado se enfoca a lo importante,BUENO,9.0,4.0,propedeutica,9.5,17/Feb/2014,"Dr. Celis taught me the subject of propaedeutics some time ago, he definitely helped me a lot in the hospital of Issste Hermosillo, he allowed us to practice and learn at his own pace, sometimes he doesn't have a clear order but he is highly recommended, he focuses on what is important."
Malisima No se porque ponen a profesores a dar clases que no saben explicar,MALO,2.0,6.0,Mecanica,8.5,21/Jun/2023,I don't know why they put professors to teach classes that they don't know how to explain.
No tiene claridad al explicar hace como que sabe pero se nota que no sabe nada,MALO,2.0,2.0,MECÁNICA,9.0,08/Jun/2023,"He is not clear when explaining, he pretends to know but it is clear that he knows nothing."
Pésimo se debería jubilar ya,MALO,2.0,2.0,Derecho Comparado,10.0,20/Jul/2018,"Lousy, he should retire now"
Un ser pusilanime poco prefesional con  poco o nulo conocimiento de la materia Si sabes algo que el no preparate para ser atacado y acosado sexualmente REGALA LAS CALIFICACIONES no obstante NUNCA LO TOMEN mis niveles de azucar bajan en su clase,MALO,2.0,10.0,Seminario de interpretación juridica,10.0,27/Abr/2016,"A pusillanimous, unprofessional being with little or no knowledge of the subject If you know something he doesn't prepare to be attacked and sexually harassed GIVE AWAY THE RATINGS however NEVER TAKE IT my sugar levels drop in his class."
Es una burla que un maestro como él se atreva a dar clases en una institución como esta No da clase todo el semestre se la pasa hablando de su vida puro rollo A veces da risa pero hace bromas muy de doble sentido acosando a estudiantes,MALO,2.0,10.0,Derecho Internacional Privado,0.5,08/Jul/2014,"It is a mockery that a teacher like him dares to teach in an institution like this He does not teach the whole semester He spends the whole semester talking about his life, pure bullshit Sometimes it's funny but he makes jokes of double meaning harassing students"
Muy buena maestra y muy linda Su clase es muy buena y le gusta que participen Volvería a tomar su clase de nuevo Estudia mucho de sus diapositivas de ahí pone sus exámenes,BUENO,10.0,10.0,Histología,9.5,26/Oct/2022,Very good teacher and very nice Her class is very good and she likes you to participate I would take her class again She studies a lot from her slides from there she puts up her tests.
z03 La clase es larga Es fácil pasar con ella memorízate sus diapos pero estudia tu a lo largo del parcial para que sí aprendas Salir bien con ella es fácil Muéstrale interés en su clase Eso es importante Todos tienen que haber participado una vez en el parcial Pónganse de acuerdo,BUENO,7.0,10.0,Histología (T),9.5,08/Ago/2017,z03 The class is long It's easy to get by with her Memorize her slides but study throughout the midterm so you do learn It's easy to get by with her Show her interest in her class That's important Everyone must have participated in the midterm once Agree on it
El mejor profesor que he tenido 1010,BUENO,10.0,6.0,Mecanica,9.0,03/Jun/2023,The best teacher I ever had 1010
Excelente en todos los aspectos cada clase con el fue muy motivadora al aprendizaje espero nunca cambie,BUENO,10.0,10.0,MECANICA,9.0,05/Dic/2022,Excellent in all aspects every class with him was very motivating to learn and I hope he never changes.
Muuuuuy barco no enseña nada de su clase pero con ir  a punta chueca pasas,REGULAR,5.0,10.0,Medios impresos,10.0,25/May/2020,Muuuuuy barco no enseña nada de su clase pero con ir a punta chueca pasas
No dejes pasar la oportunidad de tomar clase con esta maestra muy agradable curso,BUENO,10.0,10.0,Produccion.,9.0,12/Ene/2021,Don't miss the opportunity to take a class with this very nice teacher.
"En linea 
Es buena profesora tiene un buen sentido del humor que le da el toque a la clase para poder resistir a 3 horas de clase",BUENO,10.0,10.0,Producción,10.0,16/Dic/2020,"Online
She is a good teacher and has a good sense of humor that gives the class a touch to be able to resist 3 hours of class."
Se toma el tiempo necesario para que las ideas se entiendan,BUENO,10.0,8.0,Álgebra Lineal,9.0,23/Dic/2021,Takes the time necessary for the ideas to be understood
La clase se resumía en él leyendo su material y asignaba un trabajo semanal que podía ser individual o en equipo explicaba los criterios y después indicaba los fallos en el trabajo entregado,REGULAR,5.0,8.0,Ética y desarrollo profesional,9.5,18/Dic/2021,"The class was summarized in him reading his material and assigning a weekly work that could be individual or in teams, explaining the criteria and then pointing out the flaws in the submitted work."
Excelente maestra y ser humano,BUENO,9.0,8.0,Matematicas,8.5,09/Ago/2018,Excellent teacher and human being
Estricta pero muy buena la recomiendo,BUENO,10.0,6.0,Análisis Químico,10.0,06/Ago/2018,"Strict but very good, I recommend it"
No le interesan todos los alumnos da la clase para unos pocos,REGULAR,4.0,10.0,Finanzas,24.0,03/Jul/2019,He is not interested in all the students he teaches the class for a few.
Se cree la gran mierda,REGULAR,4.0,6.0,Negocios Internacionales,8.0,18/May/2018,He thinks he's the big shit
El peor maestro que he tenido Muy sarcástico le encanta reprobar gente,MALO,3.0,4.0,Fisica lll,9.5,07/Ene/2019,The worst teacher I have ever had Very sarcastic loves to fail people
Charlie te da algunas materias difíciles dinámica pero no esta tan complicado Tienes que ponerle machín atención porque entra al salón con plumón en mano dejándote caer con problemas Ocupas las notas de las clases para sobrevivir pídelas falta ve a los exámenes saca 100 domina el mundo,BUENO,8.0,4.0,dinamica sistemas / mecanica vect/ analisis num.,9.0,19/Feb/2023,Charlie gives you some difficult dynamic subjects but it's not that complicated You have to pay close attention because he enters the room with pen in hand dropping you with problems You need the notes from the classes to survive ask for them ask for them miss the exams take 100 get 100 dominate the world
A pesar de que su clase es difícil a diferencia de los otros maestros de Ética que casi no se esmeran en sus clases  con este maestro si aprendes,BUENO,10.0,10.0,Etica y desarrollo profesional,8.5,31/Jul/2020,"Although his class is difficult, unlike the other Ethics teachers who hardly put any effort into their classes, with this teacher you do learn."
Durante las clases es de leer Es de dejar trabajos en equipo los exámenes son medio difíciles,REGULAR,5.0,6.0,Ética y Desarrollo Profesional,8.0,28/Ago/2017,During the classes it is to read It is to leave work in teams the exams are rather difficult
Es buena explicando pero tuvimos problemas con el internet en clases en línea Si tomaría otra clase con ella en el futuro es comprensiva y le gusta buscar alternativas de trabajo Sus exámenes teóricos son difíciles los de problemas son similares a los vistos en clase,BUENO,10.0,8.0,Física III con laboratorio,10.0,18/Dic/2021,She is good at explaining but we had problems with the internet in online classes If I would take another class with her in the future she is understanding and likes to look for alternative work Her theoretical exams are difficult the problem exams are similar to those seen in class.
A la gente le cae bien a mi no tanto porque la clase es puro rollo de su vida o supuestas enseñanzas nomas hace preguntas al salón y nadie contesta bien y se va sin contestarlas Deja un trabajote final larguísimo que ni al caso con lo que enseña y super exigente calificandolo no lo recomiendo,REGULAR,6.0,4.0,Intervención,8.0,25/May/2020,"People like him, I don't like him so much because the class is all about his life or supposed teachings, he just asks questions to the class and nobody answers them well and he leaves without answering them He leaves a very long final paper that is not relevant to what he teaches and he is very demanding in his grading."
moroyoqui es el mejor aprendes lo mas importante no hay estres psicologico y sabe explicar lo mas fundamental yo si lo recomiendo apra microbiologia,BUENO,9.0,10.0,Microbiologia,8.5,21/Sep/2014,moroyoqui is the best you learn the most important things there is no psychological stress and he knows how to explain the most fundamental things I recommend him for microbiology.
Es un buen Profesor solo que le falta un poco de experiencia a la hora de explicarcosa que se da con el tiempo pero es conocedor y esta abierto a dar asesorias Lo recomiendo,BUENO,7.0,6.0,Inmunología,10.0,22/Ago/2013,"He is a good teacher, he just lacks a bit of experience when it comes to explaining things, but he is knowledgeable and open to give advice."
Excelente maestra Totalmente recomendada Poco impuntual e inconstante pero aprendi demasiado,BUENO,10.0,4.0,Analisis Instrumental,9.0,15/Sep/2009,Excellent teacher Totally recommended A little unpunctual and inconsistent but I learned a lot.
De los mejores profesores del departamento de matemáticas Sugiero que participes constantemente y hagas notar tu presencia en clase para que el profe te identifique ya que es más flexible calificando hacia aquellos estudiantes que ya conoce,BUENO,10.0,4.0,Cálculo IV,9.5,28/May/2022,One of the best teachers in the math department I suggest that you constantly participate and make your presence known in class so that the teacher can identify you as he/she is more flexible in grading those students he/she already knows.
De los mejores maestros que he tenido siempre con la prioridad de hacer  las ideas claras,BUENO,10.0,6.0,"Cálculo II, Cálculo IV",9.5,23/Dic/2021,"One of the best teachers I have ever had, always with the priority of making the ideas clear."
Sus exámenes son muy sencillos solo que los temas de la materia son algo repetitivos,BUENO,7.0,10.0,Probabilidad y Estadística,10.0,18/Dic/2021,"Your exams are very simple, only the subject matter is somewhat repetitive."
Son muchos problemas de un día para otro selecciona los capítulos de Maroon que quiere que contestemos las explicaciones no siempre son buenas es muy estresante su clase y sus exámenes,BUENO,7.0,4.0,Termodinámica I,9.0,18/Dic/2021,It's a lot of problems from one day to the next select Maroon's chapters he wants us to answer the explanations are not always good it's very stressful his class and his tests
super buen profe tiene temas super interesantes y te platica la clase como si fuera una platica con tus amigos,BUENO,10.0,10.0,Caracteristicas de la sociedad actual,9.5,24/Oct/2019,super good teacher has very interesting topics and talks about the class as if it were a conversation with your friends.
Deja que estudiar con pocos días de anticipación y temas largos pero te ayuda a forjar el carácter,BUENO,10.0,10.0,Anatomía,9.0,23/Abr/2020,Let studying a few days in advance and long subjects but it helps you build character
Hermoso,BUENO,10.0,2.0,Traumatología y ortopedia,9.0,28/Oct/2019,Beautiful
Es un Doctor muy amable y respetuoso En su clase la exigencia es poca pero se puede sacar gran provecho del anfiteatro debido al gran número de visitas,BUENO,10.0,10.0,Anatomia 1,7.5,29/Dic/2016,He is a very kind and respectful Doctor In his class the demands are low but great use can be made of the amphitheater due to the large number of visitors.
Es muy lindo el Dr Si quieres sacarle el mayor provecho al anfiteatro ve muy bien estudiado con músculos vasos y nervios Si no luego no sabes ni que vez y no aprendes Estudia con tiempo para el examen final de disecciones para que no se te haga pesado Siempre dispuesto a ayudarte,BUENO,10.0,10.0,Laboratorio de Anatomía I,8.0,28/Dic/2016,"If you want to get the most out of the amphitheater, study very well with muscles, vessels and nerves, otherwise you won't even know what you're seeing and you won't learn."
El profesor no explica bien ni siquiera los ejercicios que nos deja Si le preguntamos se enoja Además sus comentarios misóginos obviamente sobran,MALO,2.0,2.0,Didáctica,9.5,25/Mar/2021,"The professor does not explain well even the exercises he leaves us If we ask him questions, he gets angry And his misogynistic comments are obviously superfluous."
El maestro Pancho es muy buen maestro siempre tiene ideas innovadoras y las clases son entretenidas A veces como que se le olvidan las cosas que dijo en clase con puntos extra y calificaciones pero sus clases son de las más originales e interesantes,BUENO,10.0,10.0,Didáctica,9.5,26/Sep/2018,Pancho is a very good teacher he always has innovative ideas and the classes are entertaining Sometimes he kind of forgets the things he said in class with extra points and grades but his classes are one of the most original and interesting.
Muy buen maestro explica bastante bien  y sabe el como plasmar distintos ámbitos aplicados a las matemáticas para comprenderlo un poco mejor la participación cuenta mucho volvería a llevar una clase con el,BUENO,9.0,8.0,Ecuaciones Diferenciales,7.0,29/Jun/2022,Very good teacher explains quite well and knows how to capture different areas applied to mathematics to understand it a little better participation counts a lot I would go back to take a class with him.
Poco enfoque en lo básico que te permite formar una base de conocimiento entra directamente a situaciones específicas y complejas,BUENO,7.0,2.0,Cálculo,9.0,15/Feb/2021,Little focus on the basics that allows you to form a knowledge base and go directly into specific and complex situations.
Explica muy bien y se da tiempo para explicarte si necesitas ayuda además que te brinda asesoría extra en su cubículo si crees necesario,BUENO,10.0,10.0,Calculo III,8.0,13/Jun/2019,He explains very well and takes the time to explain if you need help and gives you extra advice in his cubicle if you think it is necessary.
Excelente ser humano Recomendado,BUENO,8.0,8.0,Anatomia,8.0,16/Dic/2019,Excellent human being Recommended
El Doctor no tiene mucha presencia de aula ya que su voz no es tan fuerte Procura sentarte enfrente A pesar de esto es muy paciente y comprensivo sabe muchísimo de los temas Siempre disponible y dispuesto a ayudarte No se escucha lo que dice pero lo que dice es muy importante,BUENO,8.0,6.0,Anatomía,8.5,11/Nov/2019,The Doctor does not have much classroom presence as his voice is not so loud Try to sit in front of him Despite this he is very patient and understanding He knows a lot about the issues He is always available and willing to help you You don't hear what he says but what he says is very important
Quiero ser como el,BUENO,10.0,10.0,Neuroanatomía,23.0,16/Nov/2017,I want to be like him
