comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha
Este tipejo es lo peor que le pudo haber pasado al Departamento de Economía de la UAM De la camarilla de otro asno como Buzo No se sorprendan que termine dando clases aquí una de sus amantes que ni la carrera terminó Lupita Bravo,MALO,2.0,10.0,Economía Política,10.0,01/Ago/2018
"Uno de los mejores profesores que he tenido en mi vida Una gran calidad de persona que realmente se preocupa por el aprendizaje 
me despertó las ganas de aprender ",BUENO,10.0,10.0,Biología,10.0,24/Jul/2023
Muchas diapositivas,BUENO,9.0,6.0,Biología de Procariontes,9.0,07/Ene/2019
No es clara en clase le da muchas vueltas a los temas,REGULAR,5.0,6.0,SOCIOLOGIA,8.0,20/Feb/2019
Con este maestro no aprendes nada no le interesa dar clases el cuestionario que te da lo bajo de internet es de otro profesor no de el El examen super dificil,MALO,3.0,4.0,CONTRATOS MERCANTILES,8.0,23/Ene/2017
"No sabe nadanada te deja muchos cuestionarios
no te resuelve ninguna duda falta llega tarde el cuestionario es de otro profesor que encuentras en internet y el examen no tiene nada que ver con los cuestionarios pesimo maestro no sabe nada ni le interesa",MALO,2.0,4.0,contratos mercantiles,1.5,19/Ene/2015
Es ultra exigente cree que estudias economía para dedicarte sólo a su materia hay profesores estrictos en la facultad que valen la pena ella solo deja tareas de primaria como monografías o dibujar mapas incluso su modo de enseñar es de primaria y los trabajos son estúpidos y antipedagógicos,REGULAR,6.0,2.0,Historia de México I,1.0,26/Jun/2015
"Es muy buena maestra enseña bien y hay claridad en la exposición pero a veces se pasa de exigente y puede reprobarte si no cumples con los trabajos y apruebas el examen  A veces es hay tareas interesantes como la visita a Chapultepec
Pero en fin es buena la mejor que he tenido",BUENO,8.0,6.0,Historia Economica de Mexico 1,9.5,16/May/2015
Excelente maestra joven y muy preparada Su forma de enseñar es muy amena hay que participar pero sus exámenes no son difíciles si estudias Eso si si haces el final renuncias a tu calificación y no es para nada fácil Recomendable ampliamente si deseas aprender,BUENO,10.0,6.0,Histora de México,10.0,22/Ene/2015
el profesor tiene muchos fallos almenos con la materia de geometría analitica ya que no califica correctamente y no te sabe explicar y si tienes dudas te deja peor,MALO,3.0,6.0,geometria analitica,5.0,03/Dic/2014
Bien profesor,BUENO,10.0,10.0,Calculo,10.0,24/Nov/2012
excelente profesor  enseña bien aunque le falta subir la dificultad a la hora de evaluar,BUENO,10.0,6.0,matematicas,10.0,18/Ene/2011
No explica con claridad tienes que estudiar por tu parte los examenes los hace de los mismos ejercicios q se ven en clase y si tienes dudas no te las responde te deja igual o peor,MALO,2.0,8.0,geometria analitica,5.0,12/Ene/2011
Me ha parecido muy útil y me gusta mucho que exista apertura resolver dudas También me agrada que suba los materiales a la plataforma para que tengamos oportunidad de revisarlos después de las sesiones Además creo que las tareas prácticas son muy útiles para utilizar lo aprendido de manera teóri,BUENO,9.0,6.0,Excel,9.5,08/Ene/2021
Sus tareas son muy fáciles pero no tiene organización en lo absoluto por lo que no aprendes nada y te confundes al momento de entregar las actividades,REGULAR,5.0,6.0,Argumentación y Expresión escrita,9.0,11/Ene/2023
"Los lineamientos no están claros las actividades nunca las actualizó en cuanto a fechas de entrega aunado a que la materia en sí tiene información antigua y no aporta nada y hasta último momento las modificó casi no da retroalimentación
Honestamente la experiencia no fue buena",MALO,3.0,6.0,Gobierno y demografía,8.0,04/Ago/2022
Excelente profesor,BUENO,10.0,10.0,Ética de las organizaciones,9.0,24/Jun/2021
las clases son largas deja trabajos muy largos nadie tiene 10 en esta clase mucho 8 te aburres,REGULAR,5.0,4.0,Ética de las organizaciones,8.0,23/Ago/2020
"Deja trabajos largos y pues nadie saca 10 y clase aburrida y larga
La mayoría puro 8 recomiendo al del viernes en la noche",REGULAR,4.0,4.0,Ética,8.0,08/Jul/2020
para aburrirte,REGULAR,6.0,6.0,Ética,8.0,17/Jun/2020
"Nadie saca 10 solo 9 y 8
clase larga",BUENO,7.0,6.0,Ética,8.0,27/Abr/2020
La clase es muy teórica pero el profesor realmente inspira e invita a la reflexión de la ética Puede ser un poco lenta pero es sin duda un privilegio tomar su clase Las lecturas son interesantes y constructivas Las instrucciones para calificar son muy claras desde el principio,BUENO,10.0,10.0,Ética en La Organizaciones,9.0,03/Feb/2020
Es un muy culto Te aclara desde la clase 1 la forma de trabajar y las tareas que deberás entregar En general para mí el tema de ética es un poco tedioso y el ya está grande por lo que puede llegara a aburrirte pero se esmera por mantenerte en el juego,BUENO,10.0,10.0,Ética de las oganizaciones,10.0,07/Ene/2020
Excelente profesor los mejor de la UNAM y de México,BUENO,10.0,10.0,Seminario de ética y responsabilidad corporativa,10.0,24/May/2017
Es un privilegio tomar clase con el Dr Miguel Concha Malo una joya como ser humano inspirador y culto cada clase eleva la consciencia social de sus alumnos Años más tarde me enteré  que es sacerdote nunca lo mencionó sólo sus credenciales académicas y como líder social de derechos humanos,BUENO,9.0,8.0,Sociología de las Organizaciones,8.5,19/May/2017
Excelente profesor y ser humano Muy culto y con alta calidad moral Preocupado por cambiar el mundo con ayuda de la reflexión a los alumnos Erudito y experto en la materia Clase tediosa si deseas pasar sin aprender o te importa mas tu whats que la Responsabilidad Social,BUENO,10.0,10.0,Ética de las Organizaciones,9.0,09/Dic/2016
Un profesor que cambio mi forma de ver el mundo excelente docente ojala muchos mexicanos pudiéramos observar el mundo como él otra seria nuestra realidad gracias Dr,BUENO,10.0,8.0,Calidad,10.0,04/May/2015
Lo difícil del seminario es que el alumno pueda hacer un examen de conciencia y decidir llevar una vida éticamente correcta Lo que El Dr Concha Malo presenta en su clase es la base necesaria para poder revisar uno mismo si nuestros actos son éticos Altamente Recomendable,BUENO,10.0,4.0,Responsabilidad Social Corporativa,10.0,25/Feb/2013
El mejor profesor que he tenido en mi vida si todos fueran como él México sería otro aparte de aprender la materia creces como ser humano,BUENO,10.0,10.0,Seminario de ética y responsabilidad corporativa,10.0,16/Feb/2011
Maestro de Excelencia y defensor de los derechos humano un verdadero orgullo no solo para la unam si no para México,BUENO,10.0,10.0,Etica y Responsabilidad Social Coorporativa,9.0,12/Ene/2011
Muy buena clase,BUENO,10.0,6.0,BIOLOGIA MOLECULAR,9.0,21/Ago/2021
Es un profesor que explica muy bien y orienta todo a la práctica Es muy accesible y siempre está disponible para ayudar en lo que necesites,BUENO,10.0,10.0,Política criminal,10.0,21/Ene/2021
Es un profesor que exige mucho pero que enseña el doble Aprendes mucho aunque no sea fácil llevar buenas notas con él al final siempre ayuda a todo el curso Es excelente profesor una vaca sagrada,BUENO,9.0,4.0,Metodología de la Investigación en Comunicación,10.0,08/Dic/2014
Si quieren pasar la materia sin hacer absolutamente nada o con media investigación de 5 páginas esta es su opción,MALO,2.0,10.0,Compiladores,10.0,27/Ene/2015
Excelente académica tuve la fortuna de aprender de ella en el año 2000 en la División de Estudios de Postgrado en la FCA de la UNAM,BUENO,10.0,10.0,Servicio Social División de Estudios de Postgrado FCA,10.0,21/Feb/2021
Es buen profesor pero si quieres barquear no es el indicado,BUENO,10.0,4.0,Calculo integral,6.0,04/Ago/2023
Si quieres aprender independientemente de si quieres pasar la materia esta es tu opción Es claro  directo y excelente explicando el por qué de los ejercicios y la materia pero así como enseña es como te exigirá manejar los conocimientos para exentar con 8 o pasar su final,BUENO,10.0,4.0,Cálculo Integral,5.0,04/Jul/2023
De lo mejor de la DCB domina todos sus temas y lo explica de forma muy clara para entender todo Hay que hacer sus series para que el examen no sea complicado a veces toma esos ejercicios Hace muchísimos ejercicios,BUENO,10.0,8.0,Cálculo Integral/Cálculo Vectorial,9.0,24/Jun/2023
"Bastante claro ameno y accesible
No es barco pero su evaluacion da oportunidad a que pases la materia sin llegar al final
Estudia sus serie preguntale mucho por que sí tiene un basto conocimiento
Aprovechalo al máximo",BUENO,10.0,8.0,Calculo Vectorial,7.0,04/Jun/2023
Es uno de los mejores profesores de la fac da super bien el laborario de EyM explica muy bien resuelve dudas te motiva y la clase es muy amena ojo tampoco es barco si revisa tus practicas  y los cuerstionarios previos pero realmente excelente profesor muy profesional,BUENO,10.0,10.0,LAB DE ELECTRICIDAD Y MAGNETISMO,9.0,09/Feb/2023
Es muy buen profesor deja tarea casi cada clase y tienes que hacer sus series para que el examen no se te haga dificil resuelve las dudas y explica claro,BUENO,9.0,4.0,Calculo Vectorial,8.0,08/Feb/2023
Pinche profe DIOSSSS el que diga lo contrario se le funa en Twitter Te hace retos y deafio y da hasta 1 punto extra Suerte pero chambea,BUENO,10.0,6.0,Calculo Vectorial,10.0,04/Feb/2023
Es un excelente profesor y persona explica muy bien Como tal no deja tarea para entregar  da ejercicios para practicar  Deja una serie antes de cada examen que si la resuelves te puede ayudar El único problema son sus exámenes que son largos y pesados muchas veces no los terminas por el tiempo,BUENO,9.0,6.0,Cálculo Vectorial,8.0,03/Ago/2022
De los mejores profesores Explica bastante claro te deja excelente nivel Tienes que tener muy buenas bases sino se te hará pesada la materia además tendrás que estudiar bastante para sus exámenes   Si tienes oportunidad no dudes en meterlo Te enseña lo que otros profesores no lo hacen ,BUENO,10.0,4.0,Cálculo Integral,10.0,17/Jun/2022
"No lo metas si no tienes bases es buena persona y gran profesor
Pero sus examenes son sufrimiento y dolor
No te ayuda",BUENO,7.0,2.0,Cálculo Vectorial,24.0,16/Jun/2022
Buen profe explica muy claro y exámenes al nivel de la clase aunque estricto a la hora de calificar pero de ahí en fuera de los mejores profes,BUENO,10.0,8.0,Calculo integral,10.0,28/May/2022
Es un excelente profesor excelentes clases y material además que es dinámica y da muchos ejercicios y ejemplos de aplicación Nunca hay que faltar a sus clases ya que lleva un ritmo muy acelerado pero nada complicado las series y exámenes a nivel de clase Califica muy duro pero justo,BUENO,10.0,8.0,Cálculo y Geometría Analítica,9.0,23/May/2022
Es un excelente profe te exige mucho explica muy bien todo muy claro ves todo el temario Sales aprendiendo si o sí Los exámenes están perritos pero si haces su serie ya la armaste Siempre respóndale porque si no se enoja,BUENO,9.0,4.0,Cálculo Vectorial,10.0,02/Feb/2022
Magnífico profesor Tienes que disciplinarte para que salgas bien estudio y repaso constante no es nada fácil pero vale cada momento de trabajo duro aprendes bien y aclara cualquier duda dentro y fuera de clase,BUENO,10.0,6.0,Vectorial,9.0,24/Ene/2022
"En linea
Lo que dicen es verdad nunca había tenido un profesor que supiera enseñar tan bien se vuelve tu clase favorita y aprendes demasiado abarca todo el temario Sin embargo su nivel de enseñanza es igual de alto que su nivel de dificultad hace ejercicios y deja tareas EXÁMENES DIFÍCILES",BUENO,10.0,4.0,Cálculo y Geometría Analítica,10.0,17/Ene/2022
El mejor profesor de la DCB la verdad vectorial ha sido la materia que más me ha gustado por él es muy claro y si pones atención tendrás muchos conocimientos y también estarás preparado para las demás materias la mayoría de sus ejercicios son complicadillos pero nada del otro mundo es el mejor,BUENO,10.0,4.0,Cálculo Vectorial,8.0,07/Sep/2021
Es muy profesor explica con claridad los temas los exámenes son regulares siempre y cuando hayas estudiado las series y repasado sus notas solo no debes copear en sus exámenes que se da cuenta ademas de entregar puntualmente,BUENO,10.0,8.0,Calculo Vectorial,7.0,01/Sep/2021
El profesor explica bien y graba sus clases sin embargo los ejercicios que hace en clase son demasiado sencillos a comparación de sus exámenes has sus series a veces repite algún ejercicio que viene ahí es super delicado si entregas algún examen o trabajo con 1 minuto de retraso te pone cero,REGULAR,6.0,4.0,Calculo Integral,8.0,26/Ago/2021
Es sin duda alguna el mejor profesor para cualquiera de los tres cálculos Simplemente Dios es neta el mejor Sabe todo y sales siendo un pro en todo Hasta cubres algunos huecos de álgebra que pudieras tener,BUENO,10.0,6.0,Cálculo Vectorial,10.0,24/Ago/2021
Explica con claridad se va rápido pero termina el programa y enfoca bien los contenidos Se toma muy en serio sus clases  y el contenido generado en ellas No es recomendable entregar exámenes tarde o valen cero,BUENO,10.0,8.0,Cálculo integral,10.0,23/Ago/2021
Un profesor con pasión y gusto por enseñar Evalúa con los previos a mano y reportes con dibujos a color  así como examen pero nada difícil 90 del grupo obtuvo 10,BUENO,9.0,8.0,Lab. Electricidad y Magnetismo,10.0,23/Ago/2021
El mejor profesor que llevé en este semestre Muy dedicado organizado respetuoso e inteligente Acabó todo el temario No dudes meterlo,BUENO,10.0,4.0,CÁLCULO INTEGRAL,10.0,20/Ago/2021
El mejor profe que te puedes topar tienes que estudiar muy bien para los exámenes la forma de evaluación te puede facilitar el diez pero tienes que ponerte pilas sino ya valió te dejara buen nivel no dudes en meterlo,BUENO,9.0,6.0,Calculo Vectorial,8.0,18/Ago/2021
De los mejores profesores que puedes encontrar no duden meterlo sigue el temario al pie de la letra con mucho orden tratando de abarcar lo máximo posible para sus exámenes tienes que estudiar muy bien aunque tampoco es imposible sacar una muy buena calificación con él Recomendadísimo,BUENO,9.0,8.0,Cálculo y Geometría Analítica,10.0,18/Feb/2021
En línea Definitivamente lo mejor de la Facultad en general es excelente dando clases dedicado respetuoso claro paciente y sobretodo entregado a la cátedra hace 4 exámenes daba 2 horas para entregar y digitalizar con cámara apagada  Exámenes un poco difíciles pero no imposibles,BUENO,8.0,6.0,Cálculo y Geometría Analítica,10.0,18/Feb/2021
Es un buen profesor está muy bien preparado para las clases en línea explica muy bien los temas lo único es que tienes que practicar bastante para poder sacar buena calificación en un examen  Evalua con 120  por lo que puedes sacar 10 de manera fácil Si repruebas dos examenes es final,BUENO,7.0,4.0,Cálculo y Geometría Analíticia,10.0,18/Feb/2021
Es todo lo que dicen excelente profesor y excelente ser humano Se la sabe de todas Sus presentaciones son oro molido Vecto está cargada de información te sugiero estudiar un poco antes de iniciar la clase para entrar fresco y preguntar todas tus dudas ya que siempre las responderá,BUENO,10.0,4.0,Cálculo Vectorial,8.0,16/Feb/2021
Es muy bueno  estudia chido y entra a todas las clases realiza formularios y ponle empeño en las tareas y al estudio si te esfuerzas chido sacas 10 su evaluación te ayuda pero no te confíes es justo al calificar las tareas y exámenes un chingón la neta no apto para barquear  aprendes chido,BUENO,9.0,8.0,Cálculo Vectorial,10.0,15/Feb/2021
Un chingón,BUENO,10.0,6.0,Cálculo Vectorial,9.0,05/Ene/2021
El mejor profesor que me pudo dar las bases del cálculo sin duda pienso tomar otra clase con él,BUENO,10.0,4.0,Cálculo y Geometría Analítica,9.0,03/Sep/2020
Requiere estar al corriente En línea realmente brinda el material necesario para aprender Revisa con lupa las cosas por lo que se requiere ser muy meticuloso Es un papucho En línea no es obligatoria la asistencia pero mejor no faltar,BUENO,10.0,10.0,Calculo integral,8.0,01/Sep/2020
De los mejores profesores que te puedes encontrar en la universidad sus clases son exelentes y muy claras además de resolver todas las dudas da jemplos claros fáciles de comprender trabajas mucho,BUENO,10.0,6.0,Calculo integral,8.5,31/Ago/2020
Uno de los mejores profesores que he tenido en la facultad Clases excelentes Comprendí conceptos que no había entendido en teoría Tanto los cuestionarios previos como los reportes los califica con lupa por lo que es difícil sacar 10 La mayoría sacamos 9 Muy recomendable si quieres aprender,BUENO,10.0,10.0,Lab. EyM,9.0,21/Ago/2020
Simplemente UN DIOS tanto física como intelectualmente Aprendes y pasas con buena calificación si le echas ganas,BUENO,10.0,8.0,Cálculo Vectorial,10.0,19/Ago/2020
Nada barco sin duda uno de los mejores profesores de ciencias básicas Es el mejor para explicar pero así como enseña exige si te esfuerzas hasta el final pasas,BUENO,9.0,6.0,Cálculo Vectorial,6.0,25/Jun/2020
Si no estás dispuesto a dar el 200 de tu empeño en su clase mejor ni pienses meterlo Enseña demasiado bien explica fuerte y claro pero también se va bastante veloz Tendrás que practicar muchísimo si quieres pasar bien su materia,BUENO,8.0,4.0,Cálculo Integral,8.0,05/Jun/2020
Es bueno explicando pero así como explica te exige Estudia mucho porqué sus exámenes no son triviales,BUENO,10.0,8.0,Cálculo Integral,8.0,28/Abr/2020
"Hay algo que este hombre no haga bien
La respuesta es no es un profesor excepcional clases excelentes una persona excelente siempre dispuesto a ayudar eso si te va a exigir y tienes que trabajar y estudiar por tu cuenta Es de lo mejor que tiene la DCB",BUENO,10.0,8.0,Calculo Integral,9.0,27/Mar/2020
El mejor para los 3 cálculos no dudes meter con el,BUENO,10.0,10.0,Cálculo y Geometría Analítica,8.0,08/Feb/2020
"Es todo un papucho su cara parece tallada por los mismos dioses
Explica muy bien siempre encuentra las palabraspara explicar Deja tarea cada clase examenes al nivel de clase pero debes pasar todos o si no te manda a final Lo recomiendo 100",BUENO,8.0,8.0,Cálculo integral,10.0,28/Ene/2020
Es un muy buen profesor muy divertido hace que las cosas se vuelvan mas fáciles y comprensibles en los exámenes califica el concepto mas que si te equivocas por un signo Si lo puedes meter en verdad no lo dudes Aparte es divertido aunque al principio se ve medio rudo Acabas el temario,BUENO,10.0,6.0,CALCULO VECTORIAL,10.0,18/Ene/2020
"Súper mamón y detallista a la hora de calificar los comentarios de abajo son de personas barberas sino eres igual q ellos te va a pesar meter con el
Enseña lo básico",BUENO,8.0,6.0,Calculo vectorial,8.0,03/Ene/2020
En mi grupo la mayoría se fue a final aún así casi todos tomaríamos clases con él de nuevo Deja muy buen nivel pero no es nada barco si pones de ti pueden favorecerte los criterios pero si te confías y no haces las actividades culturales te puedes quedar sin derecho a final,BUENO,8.0,2.0,Cálculo,8.0,03/Jul/2019
Da mucho en la clase pero también exige mucho Sus examenes son más difíciles que la clase pero como la serie es obligatoria hace su propia serie llegas al examen bien quizá es difícil pasar pero en final te das cuenta de que tienes muy buen nivel,BUENO,8.0,2.0,calculo integral,9.0,01/Jul/2019
Lleva la clase con orden puede parecer un poco duro pero sin duda es un muy buen profesor Califica sobre 11 da un examen de recuperación y aparte se interesa en el desarrollo personal del alumno,BUENO,9.0,8.0,Cálculo Integral,9.0,27/Jun/2019
De todos los profes del anexo con lo que he llevado clase él es el mejor por mucho Se esmera en que atiendas a la clase y tiene un orden excepcional las clases que se cancelaban por puentes o festivos las reponía con videos muy ilustrativos realizados por él Los exámenes son a nivel de la serie,BUENO,10.0,4.0,Cálculo Integral,9.0,25/Jun/2019
Mi nombre es Edwin alias El birrias tomé clase con el y me reprobó aun así recursé con el ya que era el menos peor y yo ya me la sabia sin embargo volví a reprobar y ahora estoy de oyente con el,BUENO,10.0,10.0,Vecto 2 veces,5.0,05/Feb/2019
Uno de los mejores profesores del anexo recomendado para todas las materias que imparte La clase de vecto la dá de manera muy interesante y clara cualquier duda la resuelve Las tareas y series sirven para prepararte para el examen lo complicado es el examen en equipo ya que son de aplicación,BUENO,9.0,8.0,Calculo Vectorial,9.0,30/Ene/2019
Es guapo y muy inteligente Es un excelente profesor y sus clases son muy amenas Sus exámenes no son tan pesados a excepción de los exámenes en equipo ya que estos son de aplicación No regala calificación sin embargo no es tan difícil exentar si estudias lo que ves,BUENO,9.0,6.0,Cálculo Vectorial,10.0,28/Ene/2019
amena la clase explica muy bien y es muy buena onda deja actividades y te da puntos extra aunque no te regala nada es guapo e inteligente,BUENO,8.0,6.0,Calculo Vectorial,7.0,14/Ene/2019
"Ha sido uno de los mejores profesores que he tenido en el anexo se preocupa mucho porque los alumnos aprendan y sientan curiosidad por la cultura
Definitivamente volvería a tomar clases con él",BUENO,9.0,8.0,Cálculo Vectorial,9.0,10/Dic/2018
Es un gran profesor uno de los mejores del anexo No es tan fácil exentar sin embargo te deja un gran nivel aunque tú también debes estudiar para reforzar lo visto en clase muy independientente de las tareas que deja cada clase Lo más complicado son los exámenes en equipo Clases muy amenas,BUENO,9.0,8.0,Cálculo Integral,10.0,03/Dic/2018
Es un buen profesor en verdad lo recomiendo mucho es dedicado y se preocupa por el aprendizaje de sus alumnos el único detalle sería que en sus exámenes en equipo estudien más debido a que a veces hay compañeros que no lo preparan y al final uno debe hacer casi todo The best option,BUENO,10.0,8.0,Cálculo Vectorial,8.0,29/Nov/2018
Excelente profesor En mis cortos dos semestres es el mejor profe que he tenido en general Explica muy claro es buena onda y entiende situaciones Solo que no te dejes llevar porque evalúa sobre 12 es muy estricto para evaluar tareas y exámenes Solo cambiaría los exámenes en equipo,BUENO,9.0,6.0,Cálculo Integral 2016,9.0,15/Jul/2018
Un gran profesor explica muy bien y deja en claro cada concepto además de ser muy propio en las explicaciones No te confíes sus exámenes son a nivel de lo visto en clase Aprenderás muy  bien cada tema de la asignatura Termina el temario pero a veces hay que reponer clases Excelente,BUENO,10.0,6.0,Cálculo Integral,10.0,03/Jul/2018
Un joven de 28 años muy agradable yo no le veo lo guapo jajaja Es buena onda pero toma una actitud desagradable si te falla lo que acaba de explicar Al final te echa la mano si pasaste todos sus parciales,BUENO,10.0,6.0,Cálculo vectorial,9.0,19/Jun/2018
Cuando crees que no hay profesores que te dejan muy buen nivel y sea posible pasar con un 9 o 10 te encuentras a Arconada Es un profesor excelente y explica muy bien todos los temas Sus exámenes tienen nivel pero nada del otro mundo si estudias De lo mejor del anexo sin duda,BUENO,10.0,8.0,Cálculo Vectorial,10.0,26/May/2018
"Es muy bueno  su clase es muy clara y los ejercicios están al nivel al igual que sus exámenes Si trabajas es garantizado una buena calificación  no te arrepentirás de tomar clase con él
PD Si está guapo",BUENO,10.0,8.0,Cálculo Vectorial,10.0,22/Ene/2018
Es un gran profesor se preocupa por que aprendas y hace todo lo posible para que los dibujos sean claros y entiendas los ejercicios esto es clave en Vecto Sus examenes son de nivel y aunque es mucha informacion por examen te deja sacar formulario y son examenes en equipo Da puntos extra,BUENO,10.0,10.0,Calculo Vectorial,10.0,22/Ene/2018
Explica súper claro conoce bien los temas y dibuja chido en vectorial es importante para aprender los temas Es bastante accesible su evaluación difícilmente sacas mala calificación Asistencia es muy importante y también que no repruebes examenes,BUENO,10.0,8.0,Cálculo Vectorial,10.0,29/Dic/2017
Evita faltar a clases porque te pierdes de muchos temas importantes le gusta demostrar para que se entienda a la perfección los concepto Los exámenes no son difíciles deja algunas tareas y actividades culturales ademas esta guapo,BUENO,10.0,10.0,Cálculo Vectorial.,10.0,21/Dic/2017
Es muy buen profesor la asistencia es obligatoria y por 3 faltas olvídate de la materia Deja actividades culturales por puntos extras y la verdad es muy guapo jejeje,BUENO,9.0,8.0,Calculo Vectorial,8.0,09/Oct/2017
Es un excelente maestrono es barco pero da mucha flexibilidad para que pases obvio si eres una persona irresponsabley floja no pasarás da mucha teoria y muchas veces se hace aburrido pero si enseña muy bien es muy estricto con las asistencias manda a final por eso,BUENO,10.0,6.0,Calculo Vectorial,10.0,28/Jul/2017
Mi profesor favorito hasta ahora sus clases son buenísimas explica muy bien y es accesible sí tienes dudas por mínima que sean es justo a la hora de evaluar muy ordenado puntual y responsable Aprendí muchísimo con él Ojalá de más materias,BUENO,10.0,10.0,Cálculo vectorial,9.0,05/Feb/2017
Es un excelente maestro enseña muy bien y es muy fácil pasar son él eso sí debes hacer sus tareas y series porque de verdad te ayudarán mucho a la hora del examen No te confíes si no haces nada y faltas te puede mandar a final Con ese profesor aprender mucho,BUENO,10.0,10.0,Cálculo Vectorial,10.0,06/Dic/2016
es muy buen profesor bastante recto respeta la forma de evaluar que por cierto es muy buena las clases son claras y resuelve todas tus dudas los exámenes son del mismo nivel que las tareas o los ejercicios de clase,BUENO,10.0,10.0,calculo integral/vectorial,9.0,29/Jul/2016
LA MAESTRA ES UNA PERSONA QUE DICE ESTAR PREPARADA ACADEMICAMENTE ES PROBABLE SIN EMBARGO PEDAGÒGICAMENTE HABLANDO NO TIENE LAS APTITUDES NECESARIA SE LA PASA CONTANDO CHISTES EXAGERADAMENTE IDIOTAS NO TIENE CLARO CÓMO QUIERE CALIFICAR Y DE EXPERIENCIA NO TE DEJA NADA,MALO,3.0,6.0,CONSULTORIA Y ASESORIA,4.0,18/Jul/2010
Barco cerrado falta un chingo y lo más importante ACOSADOR,MALO,2.0,2.0,Historia Universal,10.0,10/Mar/2023
Su clase es larga y tediosa no aprendo nada y es muy cerrado a opiniones,MALO,3.0,6.0,Historia,7.5,25/Ago/2021
Un profe duro al calificar pero si eres bueno si es flexible cómico siempre lleva su bocina para escuchar la mas perrona mientras estamos en clase me enseño mucho y su examen final difícil pero el profe muy flexible,BUENO,10.0,4.0,Derecho constitucional,9.0,08/Sep/2023
SI NO ESTUDIAS PARA EL EXAMEN NO ESPERES BUENAS NOTAS,BUENO,10.0,8.0,DERECHO CONSTITUCIONAL,10.0,11/Ago/2023
Excelente profesor,BUENO,10.0,10.0,Derecho constitucional,8.0,07/Ago/2023
Es muy didáctico amable y práctico Sólo no confundas amistad con la clase,BUENO,10.0,6.0,"Retórica, Argumentación e Interpretación",8.0,07/Ago/2023
Conocedor con experiencia en la docencia Clases en español y muy útiles La materia parecía compleja pero expone bien y aclara el panorama Esta guapo además jejeej Es exigente pero justo Inscríbanse Saludos,BUENO,9.0,6.0,Derecho Constitucional,8.5,27/Jul/2023
